date,year,tempmax_C,tempmin_C,precip_24hrmm,precip_cum_mm,precip_%snow,precip_%rain,snowhn24_cm,snowtotal_cm,HS_cm,SWE_cm,SWE_mm
2016-10-01 09:00:00,2016,14.0,-1.0,0,0.0,,,0,0.0,0.0,0.0,0.0
2016-10-02 09:00:00,2016,7.0,-1.0,7,7.0,100.0,,0,0.0,0.0,0.0,0.0
2016-10-03 09:00:00,2016,2.0,-2.0,3,10.0,90.0,10.0,3.5,3.5,3.5,0.7,7.0
2016-10-04 09:00:00,2016,10.0,1.0,0,10.0,,,0,3.5,0.0,0.0,0.0
2016-10-05 09:00:00,2016,10.0,-1.0,0,10.0,,,0,3.5,0.0,0.0,0.0
2016-10-06 09:00:00,2016,15.0,-2.0,0,10.0,,,0,3.5,0.0,0.0,0.0
2016-10-07 09:00:00,2016,20.0,7.0,0,10.0,,,0,3.5,0.0,0.0,0.0
2016-10-08 09:00:00,2016,20.0,3.0,0,10.0,,,0,3.5,0.0,0.0,0.0
2016-10-09 09:00:00,2016,20.0,2.0,0,10.0,,,0,3.5,0.0,0.0,0.0
2016-10-10 09:00:00,2016,17.0,4.0,0,10.0,,,0,3.5,0.0,0.0,0.0
2016-10-11 09:00:00,2016,16.0,2.0,0,10.0,,,0,3.5,0.0,0.0,0.0
2016-10-12 09:00:00,2016,17.0,1.0,0,10.0,,,0,3.5,0.0,0.0,0.0
2016-10-13 09:00:00,2016,14.0,2.0,0,10.0,,,0,3.5,0.0,0.0,0.0
2016-10-14 09:00:00,2016,8.0,3.0,48,58.0,,100.0,0,3.5,0.0,0.0,0.0
2016-10-15 09:00:00,2016,5.0,2.0,58,116.0,,100.0,0,3.5,0.0,0.0,0.0
2016-10-16 09:00:00,2016,5.0,0.0,100,216.0,2.0,98.0,0,3.5,0.0,0.0,0.0
2016-10-17 09:00:00,2016,1.0,-1.0,22,238.0,100.0,,9,12.5,9.0,2.1,21.0
2016-10-18 09:00:00,2016,8.0,-1.0,0,238.0,,,1,13.5,8.0,2.0,20.0
2016-10-19 09:00:00,2016,12.0,-2.0,0,238.0,,,0,13.5,4.0,1.3,13.0
2016-10-20 09:00:00,2016,19.0,0.0,0,238.0,,,0,13.5,0.0,0.0,0.0
2016-10-21 09:00:00,2016,16.0,0.0,0,238.0,,,0,13.5,0.0,0.0,0.0
2016-10-22 09:00:00,2016,14.0,0.0,0,238.0,,,0,13.5,0.0,0.0,0.0
2016-10-23 09:00:00,2016,13.0,1.0,0,238.0,,,0,13.5,0.0,0.0,0.0
2016-10-24 09:00:00,2016,7.0,3.0,9,247.0,,100.0,0,13.5,0.0,0.0,0.0
2016-10-25 09:00:00,2016,8.0,2.0,6,253.0,,100.0,0,13.5,0.0,0.0,0.0
2016-10-26 09:00:00,2016,13.0,2.0,0,253.0,,,0,13.5,0.0,0.0,0.0
2016-10-27 09:00:00,2016,8.0,5.0,45,298.0,,100.0,0,13.5,0.0,0.0,0.0
2016-10-28 09:00:00,2016,7.0,5.0,24,322.0,,100.0,0,13.5,0.0,0.0,0.0
2016-10-29 09:00:00,2016,7.0,5.0,3,325.0,,100.0,0,13.5,0.0,0.0,0.0
2016-10-30 09:00:00,2016,6.0,-1.0,46,371.0,67.0,33.0,0,13.5,0.0,0.0,0.0
2016-10-31 09:00:00,2016,3.0,-1.0,27,398.0,100.0,,21,34.5,21.0,3.4,34.0
2016-11-01 09:00:00,2016,6.0,-1.0,13,411.0,100.0,,11,45.5,39.0,,
2016-11-02 09:00:00,2016,12.0,-3.0,0,411.0,,,0,45.5,28.0,,
2016-11-03 09:00:00,2016,17.0,-1.0,0,411.0,,,0,45.5,17.0,5.8,58.0
2016-11-04 09:00:00,2016,16.0,-1.0,0,411.0,,,0,45.5,13.0,4.3,43.0
2016-11-05 09:00:00,2016,13.0,-2.0,0,411.0,,,0,45.5,9.0,,
