Date,Css Lab (428) Air Temperature Observed (degC),Css Lab (428) Air Temperature Observed QC Flag,Css Lab (428) Precipitation Accumulation (mm),Css Lab (428) Precipitation Accumulation QC Flag,Css Lab (428) Snow Depth (cm),Css Lab (428) Snow Depth QC Flag,Css Lab (428) Snow Water Equivalent (mm),Css Lab (428) Snow Water Equivalent QC Flag,Css Lab (428) Soil Moisture Percent -2in (pct),Css Lab (428) Soil Moisture Percent -2in QC Flag,Css Lab (428) Soil Moisture Percent -8in (pct),Css Lab (428) Soil Moisture Percent -8in QC Flag,Css Lab (428) Soil Moisture Percent -20in (pct),Css Lab (428) Soil Moisture Percent -20in QC Flag,Css Lab (428) Soil Temperature Observed -2in (degC),Css Lab (428) Soil Temperature Observed -2in QC Flag,Css Lab (428) Soil Temperature Observed -8in (degC),Css Lab (428) Soil Temperature Observed -8in QC Flag,Css Lab (428) Soil Temperature Observed -20in (degC),Css Lab (428) Soil Temperature Observed -20in QC Flag
2012-10-01 00:00,10.7,V,0,V,0,V,0,E,,,,,1.4,E,,,,,,
2012-10-01 01:00,10.6,V,0,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-01 02:00,10.7,V,0,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-01 03:00,10.7,V,3,V,0,V,-8,V,,,,,0.0,V,,,,,,
2012-10-01 04:00,10.6,V,0,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-01 05:00,10.1,V,3,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-01 06:00,9.7,V,3,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-01 07:00,10.4,V,0,V,0,V,-8,V,,,,,0.0,V,,,,,,
2012-10-01 08:00,15.4,V,0,V,-5,V,-8,V,,,,,0.0,V,,,,,,
2012-10-01 09:00,19.3,V,-3,V,-8,V,-8,V,,,,,0.0,V,,,,,,
2012-10-01 10:00,21.3,V,-5,V,-13,V,-13,V,,,,,0.0,V,,,,,,
2012-10-01 11:00,23.3,V,-5,V,-3,V,-13,V,,,,,0.0,V,,,,,,
2012-10-01 12:00,25.0,V,-5,V,-3,V,-10,V,,,,,0.0,V,,,,,,
2012-10-01 13:00,25.0,V,-5,V,-5,V,-8,V,,,,,0.0,V,,,,,,
2012-10-01 14:00,24.1,V,-5,V,-5,V,-5,V,,,,,0.0,V,,,,,,
2012-10-01 15:00,24.0,V,-3,V,-8,V,-5,V,,,,,0.0,V,,,,,,
2012-10-01 16:00,23.6,V,-3,V,-5,V,-3,V,,,,,0.0,V,,,,,,
2012-10-01 17:00,22.2,V,-5,V,-8,V,-3,V,,,,,0.0,V,,,,,,
2012-10-01 18:00,19.4,V,-3,V,0,V,-3,V,,,,,0.0,V,,,,,,
2012-10-01 19:00,15.6,V,-3,V,3,V,-5,V,,,,,0.0,V,,,,,,
2012-10-01 20:00,13.9,V,-3,V,3,V,-5,V,,,,,0.0,V,,,,,,
2012-10-01 21:00,12.8,V,-3,V,3,V,-5,V,,,,,0.0,V,,,,,,
2012-10-01 22:00,12.2,V,-3,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-01 23:00,11.6,V,0,V,0,V,-5,V,,,,,0.0,V,,,,,,
2012-10-02 00:00,10.9,V,0,V,0,E,0,E,,,,,0.0,V,,,,,,
2012-10-02 01:00,10.6,V,0,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-02 02:00,10.5,V,0,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-02 03:00,10.2,V,0,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-02 04:00,10.0,V,0,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-02 05:00,9.8,V,3,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-02 06:00,9.5,V,3,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-02 07:00,9.9,V,3,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-02 08:00,13.3,V,3,V,-5,V,-8,V,,,,,0.0,V,,,,,,
2012-10-02 09:00,20.4,V,-3,V,-5,V,-8,V,,,,,0.0,V,,,,,,
2012-10-02 10:00,21.8,V,-3,V,-3,V,-13,V,,,,,0.0,V,,,,,,
2012-10-02 11:00,22.3,V,-5,V,3,V,-13,V,,,,,0.0,V,,,,,,
2012-10-02 12:00,22.8,V,-5,V,-3,V,-10,V,,,,,0.0,V,,,,,,
2012-10-02 13:00,23.2,V,-5,V,-3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-02 14:00,23.2,V,-5,V,-3,V,-5,V,,,,,0.0,V,,,,,,
2012-10-02 15:00,22.5,V,-3,V,-5,V,-5,V,,,,,0.0,V,,,,,,
2012-10-02 16:00,21.8,V,-5,V,-8,V,-3,V,,,,,0.0,V,,,,,,
2012-10-02 17:00,20.4,V,-3,V,-5,V,-3,V,,,,,0.0,V,,,,,,
2012-10-02 18:00,18.2,V,-3,V,3,V,-3,V,,,,,0.0,V,,,,,,
2012-10-02 19:00,14.2,V,-3,V,3,V,-5,V,,,,,0.0,V,,,,,,
2012-10-02 20:00,12.4,V,-3,V,3,V,-5,V,,,,,0.0,V,,,,,,
2012-10-02 21:00,11.2,V,-3,V,3,V,-5,V,,,,,0.0,V,,,,,,
2012-10-02 22:00,10.3,V,0,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-02 23:00,9.6,V,0,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-03 00:00,9.1,V,0,V,0,E,0,E,,,,,0.0,V,,,,,,
2012-10-03 01:00,8.5,V,0,V,5,V,-5,V,,,,,0.0,V,,,,,,
2012-10-03 02:00,8.2,V,3,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-03 03:00,8.1,V,3,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-03 04:00,8.0,V,3,V,5,V,-8,V,,,,,0.0,V,,,,,,
2012-10-03 05:00,7.8,V,3,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-03 06:00,7.8,V,3,V,5,V,-8,V,,,,,0.0,V,,,,,,
2012-10-03 07:00,8.3,V,3,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-03 08:00,11.5,V,0,V,-5,V,-8,V,,,,,0.0,V,,,,,,
2012-10-03 09:00,18.1,V,0,V,-3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-03 10:00,20.7,V,-3,V,0,V,-13,V,,,,,0.0,V,,,,,,
2012-10-03 11:00,20.7,V,-5,V,0,V,-13,V,,,,,0.0,V,,,,,,
2012-10-03 12:00,22.2,V,-3,V,-3,V,-10,V,,,,,0.0,V,,,,,,
2012-10-03 13:00,21.1,V,-5,V,-5,V,-8,V,,,,,0.0,V,,,,,,
2012-10-03 14:00,21.8,V,-5,V,-5,V,-5,V,,,,,0.0,V,,,,,,
2012-10-03 15:00,21.0,V,-3,V,-3,V,-5,V,,,,,0.0,V,,,,,,
2012-10-03 16:00,20.5,V,-3,V,-3,V,0,V,,,,,0.0,V,,,,,,
2012-10-03 17:00,18.7,V,-3,V,-3,V,-3,V,,,,,0.0,V,,,,,,
2012-10-03 18:00,16.7,V,-3,V,3,V,-5,V,,,,,0.0,V,,,,,,
2012-10-03 19:00,13.2,V,0,V,0,V,-5,V,,,,,0.0,V,,,,,,
2012-10-03 20:00,11.4,V,-3,V,3,V,-5,V,,,,,0.0,V,,,,,,
2012-10-03 21:00,10.1,V,0,V,0,V,-5,V,,,,,0.0,V,,,,,,
2012-10-03 22:00,9.1,V,0,V,0,V,-8,V,,,,,0.0,V,,,,,,
2012-10-03 23:00,9.1,V,0,V,5,V,-8,V,,,,,0.0,V,,,,,,
2012-10-04 00:00,8.8,V,0,V,0,E,0,E,,,,,0.0,V,,,,,,
2012-10-04 01:00,8.3,V,3,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-04 02:00,7.9,V,3,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-04 03:00,7.9,V,3,V,0,V,-8,V,,,,,0.0,V,,,,,,
2012-10-04 04:00,7.7,V,3,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-04 05:00,7.4,V,3,V,0,V,-8,V,,,,,0.0,V,,,,,,
2012-10-04 06:00,7.2,V,3,V,3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-04 07:00,7.5,V,3,V,5,V,-8,V,,,,,0.0,V,,,,,,
2012-10-04 08:00,10.9,V,3,V,-5,V,-8,V,,,,,0.0,V,,,,,,
2012-10-04 09:00,16.6,V,0,V,-3,V,-8,V,,,,,0.0,V,,,,,,
2012-10-04 10:00,18.3,V,-3,V,-8,V,-10,V,,,,,0.0,V,,,,,,
2012-10-04 11:00,18.5,V,-3,V,-3,V,-13,V,,,,,0.0,V,,,,,,
2012-10-04 12:00,18.9,V,-5,V,-3,V,-10,V,,,,,0.0,V,,,,,,
2012-10-04 14:00,18.7,V,,,3,V,,,,,,,1.1,V,17.9,V,17.7,V,16.0,V
2012-10-04 15:00,18.5,V,-13,V,3,V,,,,,,,1.7,V,18.1,V,16.9,V,15.2,V
2012-10-04 16:00,17.7,V,,,0,V,-15,V,,,,,1.4,V,18.7,V,16.7,V,15.1,V
2012-10-04 17:00,16.4,V,-13,V,3,V,-15,V,,,,,0.9,V,19.2,V,16.7,V,15.0,V
2012-10-04 18:00,14.3,V,-13,V,8,V,,,,,,,1.5,V,19.5,V,16.7,V,15.0,V
2012-10-04 19:00,11.5,V,-13,V,5,V,,,,,,,1.8,V,19.6,V,16.8,V,15.0,V
2012-10-04 20:00,9.8,V,-13,V,8,V,,,,,,,1.5,V,19.5,V,16.9,V,15.0,V
2012-10-04 21:00,8.8,V,-13,V,8,V,,,,,,,1.1,V,19.3,V,17.0,V,15.0,V
2012-10-04 22:00,7.8,V,-13,V,5,V,,,,,,,1.8,V,19.1,V,17.1,V,15.0,V
2012-10-04 23:00,7.3,V,-10,V,8,V,,,,,,,1.2,V,18.8,V,17.2,V,15.0,V
2012-10-05 00:00,6.8,V,0,E,0,E,0,E,,,,,1.6,V,18.4,V,17.2,V,15.0,V
2012-10-05 01:00,6.2,V,-10,V,8,V,,,,,,,0.9,V,18.1,V,17.2,V,14.9,V
