Date,Css Lab (428) Air Temperature Observed (degC),Css Lab (428) Air Temperature Observed QC Flag,Css Lab (428) Precipitation Accumulation (mm),Css Lab (428) Precipitation Accumulation QC Flag,Css Lab (428) Snow Depth (cm),Css Lab (428) Snow Depth QC Flag,Css Lab (428) Snow Water Equivalent (mm),Css Lab (428) Snow Water Equivalent QC Flag,Css Lab (428) Soil Moisture Percent -2in (pct),Css Lab (428) Soil Moisture Percent -2in QC Flag,Css Lab (428) Soil Moisture Percent -8in (pct),Css Lab (428) Soil Moisture Percent -8in QC Flag,Css Lab (428) Soil Moisture Percent -20in (pct),Css Lab (428) Soil Moisture Percent -20in QC Flag,Css Lab (428) Soil Temperature Observed -2in (degC),Css Lab (428) Soil Temperature Observed -2in QC Flag,Css Lab (428) Soil Temperature Observed -8in (degC),Css Lab (428) Soil Temperature Observed -8in QC Flag,Css Lab (428) Soil Temperature Observed -20in (degC),Css Lab (428) Soil Temperature Observed -20in QC Flag
2011-10-01 00:00,11.0,V,0,V,0,E,0,E,,,,,,,,,,,,
2011-10-01 01:00,10.2,V,0,V,0,V,20,V,,,,,,,,,,,,
2011-10-01 02:00,10.1,V,0,V,-3,V,20,V,,,,,,,,,,,,
2011-10-01 03:00,9.4,V,0,V,0,V,20,V,,,,,,,,,,,,
2011-10-01 04:00,9.8,V,0,V,0,V,20,V,,,,,,,,,,,,
2011-10-01 05:00,9.6,V,0,V,0,V,20,V,,,,,,,,,,,,
2011-10-01 06:00,10.1,V,0,V,0,V,20,V,,,,,,,,,,,,
2011-10-01 07:00,10.3,V,0,V,-3,V,18,V,,,,,,,,,,,,
2011-10-01 08:00,11.0,V,0,V,-5,V,18,V,,,,,,,,,,,,
2011-10-01 09:00,12.4,V,-3,V,-5,V,18,V,,,,,,,,,,,,
2011-10-01 10:00,13.8,V,-5,V,-5,V,18,V,,,,,,,,,,,,
2011-10-01 11:00,14.5,V,-5,V,-8,V,15,V,,,,,,,,,,,,
2011-10-01 12:00,14.9,V,-5,V,-5,V,18,V,,,,,,,,,,,,
2011-10-01 13:00,15.5,V,-5,V,-5,V,20,V,,,,,,,,,,,,
2011-10-01 14:00,14.9,V,-5,V,-8,V,20,V,,,,,,,,,,,,
2011-10-01 15:00,14.4,V,-3,V,-5,V,23,V,,,,,,,,,,,,
2011-10-01 16:00,13.8,V,-5,V,-8,V,23,V,,,,,,,,,,,,
2011-10-01 17:00,12.2,V,-3,V,-5,V,23,V,,,,,,,,,,,,
2011-10-01 18:00,10.5,V,-3,V,-8,V,23,V,,,,,,,,,,,,
2011-10-01 19:00,9.4,V,-3,V,0,V,20,V,,,,,,,,,,,,
2011-10-01 20:00,9.1,V,-3,V,-3,V,20,V,,,,,,,,,,,,
2011-10-01 21:00,9.0,V,0,V,0,V,20,V,,,,,,,,,,,,
2011-10-01 22:00,8.6,V,0,V,0,V,20,V,,,,,,,,,,,,
2011-10-01 23:00,8.7,V,0,V,0,V,18,V,,,,,,,,,,,,
2011-10-02 00:00,8.2,V,0,V,0,E,0,E,,,,,,,,,,,,
