Date,Css Lab (428) Air Temperature Observed (degC),Css Lab (428) Air Temperature Observed QC Flag,Css Lab (428) Precipitation Accumulation (mm),Css Lab (428) Precipitation Accumulation QC Flag,Css Lab (428) Snow Depth (cm),Css Lab (428) Snow Depth QC Flag,Css Lab (428) Snow Water Equivalent (mm),Css Lab (428) Snow Water Equivalent QC Flag,Css Lab (428) Soil Moisture Percent -2in (pct),Css Lab (428) Soil Moisture Percent -2in QC Flag,Css Lab (428) Soil Moisture Percent -8in (pct),Css Lab (428) Soil Moisture Percent -8in QC Flag,Css Lab (428) Soil Moisture Percent -20in (pct),Css Lab (428) Soil Moisture Percent -20in QC Flag,Css Lab (428) Soil Temperature Observed -2in (degC),Css Lab (428) Soil Temperature Observed -2in QC Flag,Css Lab (428) Soil Temperature Observed -8in (degC),Css Lab (428) Soil Temperature Observed -8in QC Flag,Css Lab (428) Soil Temperature Observed -20in (degC),Css Lab (428) Soil Temperature Observed -20in QC Flag
2015-10-01 00:00,8.7,V,0,V,0,V,0,E,0.0,V,0.0,V,5.6,V,15.5,V,16.1,V,15.1,V
2015-10-01 01:00,8.4,V,3,V,0,V,3,V,0.0,V,0.0,V,6.1,V,15.4,V,16.1,V,15.1,V
2015-10-01 02:00,8.2,V,3,V,0,V,0,V,0.0,V,0.4,V,6.3,V,15.3,V,16.1,V,15.1,V
2015-10-01 03:00,8.4,V,3,V,0,V,0,V,0.0,V,0.0,V,5.6,V,15.3,V,16.0,V,15.0,V
2015-10-01 04:00,8.4,V,3,V,0,V,3,V,0.0,V,0.6,V,6.2,V,15.1,V,16.0,V,15.0,V
2015-10-01 05:00,8.1,V,5,V,0,V,3,V,0.0,V,0.4,V,5.9,V,15.1,V,15.9,V,15.0,V
2015-10-01 06:00,8.0,V,5,V,0,V,0,V,0.0,V,0.8,V,6.2,V,15.0,V,15.9,V,15.0,V
2015-10-01 07:00,7.7,V,13,V,0,V,3,V,0.3,V,0.5,V,6.0,V,13.3,V,15.9,V,15.0,V
2015-10-01 08:00,7.8,V,18,V,0,V,0,V,0.5,V,0.4,V,6.1,V,12.2,V,15.7,V,15.0,V
2015-10-01 09:00,7.8,V,20,V,0,V,3,V,1.0,V,0.3,V,5.8,V,11.9,V,15.4,V,15.0,V
