Date,Css Lab (428) Air Temperature Observed (degC),Css Lab (428) Air Temperature Observed QC Flag,Css Lab (428) Precipitation Accumulation (mm),Css Lab (428) Precipitation Accumulation QC Flag,Css Lab (428) Snow Depth (cm),Css Lab (428) Snow Depth QC Flag,Css Lab (428) Snow Water Equivalent (mm),Css Lab (428) Snow Water Equivalent QC Flag,Css Lab (428) Soil Moisture Percent -2in (pct),Css Lab (428) Soil Moisture Percent -2in QC Flag,Css Lab (428) Soil Moisture Percent -8in (pct),Css Lab (428) Soil Moisture Percent -8in QC Flag,Css Lab (428) Soil Moisture Percent -20in (pct),Css Lab (428) Soil Moisture Percent -20in QC Flag,Css Lab (428) Soil Temperature Observed -2in (degC),Css Lab (428) Soil Temperature Observed -2in QC Flag,Css Lab (428) Soil Temperature Observed -8in (degC),Css Lab (428) Soil Temperature Observed -8in QC Flag,Css Lab (428) Soil Temperature Observed -20in (degC),Css Lab (428) Soil Temperature Observed -20in QC Flag
2009-10-01 00:00,3.6,V,0,V,0,V,0,E,0.0,V,0.0,V,4.6,V,12.6,V,16.1,V,15.6,V
2009-10-01 01:00,3.7,V,0,V,0,V,-3,V,0.0,V,0.0,V,4.6,V,11.9,V,16.1,V,15.6,V
2009-10-01 02:00,3.6,V,0,V,0,V,-3,V,0.0,V,0.0,V,4.7,V,11.3,V,16.0,V,15.6,V
2009-10-01 03:00,3.2,V,0,V,0,V,-3,V,0.0,V,0.0,V,4.4,V,10.8,V,15.9,V,15.6,V
2009-10-01 04:00,2.9,V,0,V,0,V,-3,V,0.0,V,0.0,V,4.7,V,10.3,V,15.9,V,15.6,V
2009-10-01 05:00,2.9,V,0,V,3,V,-3,V,0.0,V,0.0,V,4.3,V,9.9,V,15.8,V,15.5,V
2009-10-01 06:00,2.2,V,0,V,0,V,-5,V,0.0,V,0.0,V,4.5,V,9.5,V,15.7,V,15.5,V
2009-10-01 07:00,3.2,V,0,V,0,V,0,V,0.0,V,0.0,V,4.7,V,9.2,V,15.6,V,15.5,V
2009-10-01 08:00,5.2,V,-3,V,-8,V,0,V,0.0,V,0.0,V,4.9,V,9.0,V,15.4,V,15.5,V
2009-10-01 09:00,7.1,V,-8,V,-8,V,0,V,0.0,V,0.0,V,4.8,V,9.1,V,15.3,V,15.5,V
2009-10-01 10:00,10.5,V,-10,V,-5,V,0,V,0.0,V,0.0,V,4.3,V,11.3,V,15.2,V,15.5,V
2009-10-01 11:00,12.3,V,,,-5,V,-3,V,0.0,V,0.0,V,4.7,V,14.6,V,15.1,V,15.4,V
2009-10-01 12:00,15.9,V,,,-5,V,0,V,0.0,V,0.0,V,4.5,V,16.7,V,15.0,V,15.4,V
2009-10-01 13:00,16.3,V,,,0,V,3,V,0.0,V,0.0,V,4.3,V,21.0,V,14.9,V,15.4,V
2009-10-01 14:00,16.9,V,,,-3,V,3,V,0.0,V,0.0,V,4.6,V,24.4,V,14.8,V,15.4,V
2009-10-01 15:00,16.6,V,,,-8,V,5,V,0.0,V,0.0,V,4.7,V,26.3,V,14.8,V,15.4,V
2009-10-01 16:00,15.5,V,,,-13,V,8,V,0.0,V,0.0,V,4.8,V,26.4,V,14.8,V,15.4,V
2009-10-01 17:00,13.9,V,,,-8,V,8,V,0.0,V,0.0,V,4.7,V,24.7,V,15.0,V,15.4,V
2009-10-01 18:00,10.8,V,-8,V,-3,V,3,V,0.0,V,0.0,V,4.6,V,22.7,V,15.1,V,15.3,V
2009-10-01 19:00,8.1,V,-8,V,-3,V,3,V,0.0,V,0.0,V,4.5,V,20.7,V,15.3,V,15.3,V
2009-10-01 20:00,6.6,V,-5,V,0,V,0,V,0.0,V,0.0,V,4.3,V,19.0,V,15.5,V,15.3,V
2009-10-01 21:00,5.6,V,-5,V,-3,V,0,V,0.0,V,0.0,V,4.8,V,17.5,V,15.7,V,15.3,V
2009-10-01 22:00,4.9,V,-5,V,-3,V,0,V,0.0,V,0.0,V,4.7,V,16.3,V,15.8,V,15.3,V
2009-10-01 23:00,4.3,V,-3,V,-3,V,0,V,0.0,V,0.0,V,4.5,V,15.2,V,15.9,V,15.2,V
2009-10-02 00:00,3.7,V,0,E,0,V,0,V,0.0,V,0.0,V,4.2,V,14.3,V,15.9,V,15.2,V
2009-10-02 01:00,3.3,V,-5,V,0,V,0,V,0.0,V,0.0,V,4.3,V,13.5,V,15.9,V,15.2,V
2009-10-02 02:00,3.0,V,0,V,-3,V,0,V,0.0,V,0.0,V,4.2,V,12.7,V,15.9,V,15.2,V
2009-10-02 03:00,2.5,V,0,V,0,V,0,V,0.0,V,0.0,V,4.7,V,12.1,V,15.9,V,15.2,V
2009-10-02 04:00,2.5,V,0,V,-3,V,0,V,0.0,V,0.0,V,4.1,V,11.5,V,15.8,V,15.2,V
2009-10-02 05:00,2.5,V,0,V,-5,V,-3,V,0.0,V,0.0,V,4.8,V,11.0,V,15.8,V,15.2,V
2009-10-02 06:00,2.9,V,0,V,0,V,0,V,0.0,V,0.0,V,4.3,V,10.5,V,15.7,V,15.1,V
2009-10-02 07:00,2.9,V,0,V,0,V,0,V,0.0,V,0.0,V,4.4,V,10.1,V,15.6,V,15.1,V
2009-10-02 08:00,8.4,V,-3,V,-13,V,0,V,0.0,V,0.0,V,4.7,V,9.9,V,15.4,V,15.1,V
2009-10-02 09:00,11.3,V,-13,V,-5,V,0,V,0.0,V,0.0,V,4.2,V,10.0,V,15.4,V,15.1,V
