Date,Css Lab (428) Air Temperature Observed (degC),Css Lab (428) Air Temperature Observed QC Flag,Css Lab (428) Precipitation Accumulation (mm),Css Lab (428) Precipitation Accumulation QC Flag,Css Lab (428) Snow Depth (cm),Css Lab (428) Snow Depth QC Flag,Css Lab (428) Snow Water Equivalent (mm),Css Lab (428) Snow Water Equivalent QC Flag,Css Lab (428) Soil Moisture Percent -2in (pct),Css Lab (428) Soil Moisture Percent -2in QC Flag,Css Lab (428) Soil Moisture Percent -8in (pct),Css Lab (428) Soil Moisture Percent -8in QC Flag,Css Lab (428) Soil Moisture Percent -20in (pct),Css Lab (428) Soil Moisture Percent -20in QC Flag,Css Lab (428) Soil Temperature Observed -2in (degC),Css Lab (428) Soil Temperature Observed -2in QC Flag,Css Lab (428) Soil Temperature Observed -8in (degC),Css Lab (428) Soil Temperature Observed -8in QC Flag,Css Lab (428) Soil Temperature Observed -20in (degC),Css Lab (428) Soil Temperature Observed -20in QC Flag
2016-10-01 00:00,8.1,V,0,V,0,E,0,E,0.0,V,0.0,V,4.6,V,18.3,V,17.4,V,15.0,V
2016-10-01 01:00,7.5,V,0,V,3,V,-3,V,0.0,V,0.0,V,4.5,V,18.0,V,17.4,V,15.0,V
2016-10-01 02:00,7.5,V,0,V,3,V,-5,V,0.0,V,0.0,V,4.3,V,17.7,V,17.4,V,15.0,V
2016-10-01 03:00,6.9,V,0,V,5,V,-3,V,0.0,V,0.0,V,4.6,V,17.3,V,17.3,V,15.0,V
2016-10-01 04:00,5.4,V,0,V,5,V,-5,V,0.0,V,0.0,V,4.6,V,17.0,V,17.2,V,15.0,V
2016-10-01 05:00,5.0,V,3,V,3,V,-3,V,0.0,V,0.0,V,4.6,V,16.7,V,17.2,V,15.0,V
2016-10-01 06:00,3.3,V,0,V,3,V,-3,V,0.0,V,0.1,V,4.3,V,16.4,V,17.1,V,15.0,V
2016-10-01 07:00,2.4,V,0,V,5,V,-5,V,0.0,V,0.0,V,4.4,V,16.0,V,17.0,V,15.0,V
2016-10-01 08:00,7.4,V,0,V,-3,V,-5,V,0.0,V,0.0,V,4.2,V,15.7,V,16.9,V,15.0,V
2016-10-01 09:00,9.8,V,-3,V,-5,V,-5,V,0.0,V,0.0,V,4.4,V,15.4,V,16.8,V,15.0,V
2016-10-01 10:00,11.9,V,-3,V,-3,V,-8,V,0.0,V,0.0,V,4.2,V,15.1,V,16.7,V,15.0,V
2016-10-01 11:00,12.3,V,-5,V,-5,V,-10,V,0.0,V,0.0,V,4.6,V,15.1,V,16.6,V,15.0,V
2016-10-01 12:00,13.7,V,-5,V,-3,V,-8,V,0.0,V,0.0,V,4.1,V,15.3,V,16.5,V,15.0,V
2016-10-01 13:00,14.0,V,-5,V,-3,V,-5,V,0.0,V,0.0,V,4.4,V,15.7,V,16.4,V,15.0,V
2016-10-01 14:00,13.9,V,-5,V,-8,V,-3,V,0.0,V,0.0,V,4.4,V,16.3,V,16.3,V,15.0,V
2016-10-01 15:00,13.2,V,-3,V,-5,V,0,V,0.0,V,0.0,V,4.1,V,17.0,V,16.2,V,15.0,V
2016-10-01 16:00,12.0,V,-3,V,-5,V,3,V,0.0,V,0.0,V,4.5,V,17.7,V,16.2,V,15.0,V
2016-10-01 17:00,10.4,V,-3,V,-3,V,3,V,0.0,V,0.0,V,4.2,V,18.3,V,16.2,V,15.0,V
2016-10-01 18:00,8.3,V,-3,V,0,V,-3,V,0.0,V,0.0,V,4.2,V,18.6,V,16.3,V,15.0,V
2016-10-01 19:00,7.2,V,-3,V,3,V,-3,V,0.0,V,0.0,V,4.7,V,18.6,V,16.4,V,15.0,V
2016-10-01 20:00,4.4,V,0,V,3,V,-3,V,0.0,V,0.0,V,4.6,V,18.5,V,16.4,V,15.0,V
2016-10-01 21:00,2.7,V,0,V,3,V,-3,V,0.0,V,0.0,V,4.6,V,18.2,V,16.5,V,15.0,V
2016-10-01 22:00,1.7,V,0,V,5,V,-5,V,0.0,V,0.0,V,4.3,V,17.8,V,16.6,V,15.0,V
2016-10-01 23:00,1.2,V,0,V,5,V,-3,V,0.0,V,0.0,V,4.2,V,17.4,V,16.6,V,14.9,V
2016-10-02 00:00,1.1,V,0,V,0,E,0,E,0.0,V,0.0,V,4.3,V,17.0,V,16.6,V,14.9,V
2016-10-02 01:00,1.3,V,0,V,5,V,-5,V,0.0,V,0.0,V,4.1,V,16.6,V,16.6,V,14.9,V
2016-10-02 02:00,2.9,V,0,V,3,V,-5,V,0.0,V,0.0,V,4.3,V,16.2,V,16.6,V,14.9,V
2016-10-02 03:00,3.2,V,0,V,3,V,-5,V,0.0,V,0.0,V,4.5,V,15.8,V,16.5,V,14.9,V
2016-10-02 04:00,3.2,V,0,V,3,V,-3,V,0.0,V,0.0,V,4.2,V,15.4,V,16.5,V,14.9,V
2016-10-02 05:00,3.1,V,3,V,3,V,-5,V,0.0,V,0.0,V,3.9,V,15.1,V,16.4,V,14.9,V
2016-10-02 06:00,2.9,V,3,V,3,V,-5,V,0.0,V,0.0,V,4.6,V,14.7,V,16.3,V,14.9,V
2016-10-02 07:00,3.5,V,3,V,5,V,-5,V,0.0,V,0.0,V,4.5,V,14.4,V,16.2,V,14.9,V
2016-10-02 08:00,4.6,V,0,V,0,V,-5,V,0.0,V,0.0,V,4.5,V,14.2,V,16.1,V,14.9,V
2016-10-02 09:00,5.5,V,-3,V,-3,V,-5,V,0.0,V,0.0,V,4.8,V,13.9,V,15.9,V,14.9,V
2016-10-02 10:00,6.9,V,-3,V,-3,V,-8,V,0.0,V,0.0,V,4.0,V,13.7,V,15.9,V,14.9,V
2016-10-02 11:00,7.8,V,-3,V,0,V,-8,V,0.0,V,0.0,V,4.4,V,13.7,V,15.7,V,14.9,V
2016-10-02 12:00,7.1,V,-3,V,-3,V,-8,V,0.0,V,0.0,V,4.5,V,13.9,V,15.6,V,14.9,V
2016-10-02 13:00,5.5,V,-3,V,0,V,-3,V,0.0,V,0.0,V,4.1,V,14.3,V,15.5,V,14.9,V
2016-10-02 14:00,1.6,V,3,V,3,V,0,V,0.0,V,0.0,V,4.1,V,14.7,V,15.4,V,14.9,V
2016-10-02 15:00,2.1,V,5,V,0,V,-3,V,0.0,V,0.0,V,4.6,V,14.9,V,15.4,V,14.9,V
2016-10-02 16:00,2.4,V,5,V,3,V,-3,V,0.0,V,0.0,V,4.1,V,15.0,V,15.3,V,14.9,V
2016-10-02 17:00,2.3,V,5,V,3,V,-3,V,0.0,V,0.0,V,4.6,V,14.8,V,15.3,V,14.9,V
2016-10-02 18:00,2.0,V,5,V,3,V,-3,V,0.0,V,0.0,V,4.2,V,14.6,V,15.3,V,14.9,V
2016-10-02 19:00,2.2,V,5,V,3,V,0,V,0.0,V,0.0,V,4.6,V,14.2,V,15.2,V,14.9,V
2016-10-02 20:00,1.5,V,8,V,3,V,0,V,0.0,V,0.0,V,4.3,V,14.0,V,15.2,V,14.9,V
2016-10-02 21:00,1.2,V,8,V,3,V,0,V,0.0,V,0.0,V,4.6,V,13.7,V,15.1,V,14.8,V
2016-10-02 22:00,1.0,V,8,V,3,V,0,V,0.0,V,0.0,V,4.3,V,13.5,V,15.1,V,14.8,V
2016-10-02 23:00,1.1,V,8,V,3,V,0,V,0.0,V,0.0,V,4.3,V,13.3,V,15.0,V,14.8,V
2016-10-03 00:00,0.8,V,8,V,0,E,0,E,0.0,V,0.0,V,4.6,V,13.1,V,14.9,V,14.8,V
2016-10-03 01:00,0.5,V,8,V,3,V,-3,V,0.0,V,0.0,V,4.0,V,12.9,V,14.9,V,14.8,V
2016-10-03 02:00,0.4,V,8,V,3,V,-3,V,0.0,V,0.0,V,4.1,V,12.7,V,14.8,V,14.8,V
2016-10-03 03:00,0.3,V,8,V,3,V,-3,V,0.0,V,0.0,V,4.3,V,12.5,V,14.7,V,14.8,V
2016-10-03 04:00,0.2,V,8,V,3,V,-3,V,0.0,V,0.0,V,4.3,V,12.4,V,14.6,V,14.8,V
2016-10-03 05:00,0.2,V,8,V,3,V,-3,V,0.0,V,0.0,V,4.1,V,12.2,V,14.5,V,14.7,V
2016-10-03 06:00,0.1,V,8,V,0,V,-3,V,0.0,V,0.0,V,4.6,V,12.1,V,14.4,V,14.7,V
2016-10-03 07:00,0.7,V,8,V,3,V,-3,V,0.0,V,0.0,V,4.3,V,11.9,V,14.3,V,14.7,V
2016-10-03 08:00,1.2,V,10,V,0,V,-3,V,0.0,V,0.0,V,4.5,V,11.8,V,14.2,V,14.7,V
2016-10-03 09:00,2.3,V,8,V,0,V,-5,V,0.0,V,0.0,V,3.9,V,11.7,V,14.1,V,14.7,V
2016-10-03 10:00,2.6,V,8,V,0,V,-5,V,0.0,V,0.0,V,4.1,V,11.6,V,14.1,V,14.7,V
2016-10-03 11:00,1.8,V,8,V,0,V,-3,V,0.0,V,0.0,V,4.8,V,11.4,V,13.9,V,14.7,V
2016-10-03 12:00,2.0,V,8,V,0,V,0,V,0.0,V,0.0,V,4.4,V,11.3,V,13.8,V,14.7,V
2016-10-03 13:00,2.3,V,8,V,0,V,-3,V,0.0,V,0.0,V,4.1,V,11.3,V,13.7,V,14.6,V
2016-10-03 14:00,2.3,V,8,V,0,V,0,V,0.0,V,0.0,V,4.5,V,11.2,V,13.6,V,14.6,V
2016-10-03 15:00,2.3,V,8,V,3,V,0,V,0.0,V,0.0,V,4.1,V,11.2,V,13.5,V,14.6,V
2016-10-03 16:00,2.4,V,8,V,3,V,0,V,0.0,V,0.0,V,4.0,V,11.2,V,13.5,V,14.6,V
2016-10-03 17:00,2.4,V,8,V,3,V,0,V,0.0,V,0.0,V,4.3,V,11.1,V,13.4,V,14.6,V
2016-10-03 18:00,2.5,V,10,V,3,V,0,V,0.0,V,0.0,V,4.4,V,11.1,V,13.3,V,14.6,V
2016-10-03 19:00,2.6,V,10,V,3,V,-3,V,0.0,V,0.0,V,4.0,V,11.0,V,13.3,V,14.5,V
2016-10-03 20:00,2.9,V,10,V,3,V,-3,V,0.0,V,0.0,V,4.4,V,10.8,V,13.2,V,14.5,V
2016-10-03 21:00,2.8,V,10,V,3,V,0,V,0.0,V,0.0,V,4.1,V,10.7,V,13.1,V,14.5,V
2016-10-03 22:00,3.1,V,13,V,3,V,0,V,0.0,V,0.0,V,4.1,V,10.6,V,13.0,V,14.5,V
2016-10-03 23:00,3.0,V,8,V,3,V,0,V,0.0,V,0.0,V,4.2,V,10.5,V,12.9,V,14.4,V
2016-10-04 00:00,3.0,V,13,V,0,E,0,V,0.0,V,0.0,V,4.5,V,10.4,V,12.8,V,14.4,V
2016-10-04 01:00,2.6,V,10,V,3,V,0,V,0.0,V,0.0,V,3.9,V,10.3,V,12.8,V,14.4,V
2016-10-04 02:00,2.6,V,13,V,3,V,-3,V,0.0,V,0.0,V,4.3,V,10.2,V,12.7,V,14.4,V
2016-10-04 03:00,2.4,V,13,V,3,V,-3,V,0.0,V,0.0,V,4.0,V,10.2,V,12.6,V,14.4,V
2016-10-04 04:00,2.6,V,13,V,3,V,0,V,0.0,V,0.0,V,4.1,V,10.1,V,12.6,V,14.3,V
2016-10-04 05:00,2.7,V,13,V,3,V,0,V,0.0,V,0.0,V,4.0,V,10.0,V,12.5,V,14.3,V
2016-10-04 06:00,2.6,V,13,V,3,V,0,V,0.0,V,0.0,V,4.5,V,10.0,V,12.5,V,14.3,V
2016-10-04 07:00,3.1,V,13,V,3,V,-3,V,0.0,V,0.0,V,4.4,V,9.9,V,12.4,V,14.3,V
2016-10-04 08:00,4.2,V,10,V,0,V,-3,V,0.0,V,0.0,V,4.2,V,9.8,V,12.3,V,14.2,V
2016-10-04 09:00,4.1,V,10,V,0,V,-3,V,0.0,V,0.0,V,4.5,V,9.8,V,12.3,V,14.2,V
2016-10-04 10:00,5.9,V,8,V,-8,V,-8,V,0.0,V,0.0,V,4.6,V,9.7,V,12.2,V,14.2,V
2016-10-04 11:00,7.7,V,8,V,-3,V,-5,V,0.0,V,0.0,V,4.0,V,9.8,V,12.2,V,14.2,V
2016-10-04 12:00,7.8,V,8,V,-3,V,-3,V,0.0,V,0.0,V,4.2,V,10.1,V,12.1,V,14.1,V
2016-10-04 13:00,9.3,V,8,V,-5,V,-3,V,0.0,V,0.0,V,4.4,V,10.5,V,12.0,V,14.1,V
2016-10-04 14:00,9.0,V,8,V,-3,V,-3,V,0.0,V,0.0,V,4.2,V,10.9,V,12.0,V,14.1,V
2016-10-04 15:00,9.0,V,8,V,-3,V,0,V,0.0,V,0.0,V,4.1,V,11.4,V,12.0,V,14.1,V
2016-10-04 16:00,9.0,V,8,V,-5,V,3,V,0.0,V,0.0,V,4.2,V,11.9,V,12.0,V,14.0,V
2016-10-04 17:00,7.0,V,10,V,0,V,3,V,0.0,V,0.0,V,4.2,V,12.4,V,12.0,V,14.0,V
2016-10-04 18:00,5.1,V,8,V,3,V,0,V,0.0,V,0.0,V,4.2,V,12.7,V,12.1,V,14.0,V
2016-10-04 19:00,4.7,V,10,V,3,V,-3,V,0.0,V,0.0,V,4.0,V,12.7,V,12.2,V,14.0,V
2016-10-04 20:00,3.1,V,10,V,3,V,0,V,0.0,V,0.0,V,4.0,V,12.7,V,12.3,V,13.9,V
2016-10-04 21:00,2.1,V,10,V,5,V,-3,V,0.0,V,0.0,V,4.1,V,12.5,V,12.3,V,13.9,V
2016-10-04 22:00,1.4,V,13,V,3,V,-3,V,0.0,V,0.0,V,4.4,V,12.4,V,12.4,V,13.9,V
2016-10-04 23:00,1.0,V,13,V,3,V,-3,V,0.0,V,0.0,V,4.4,V,12.1,V,12.5,V,13.9,V
2016-10-05 00:00,0.4,V,13,V,0,E,0,E,0.1,V,0.0,V,4.5,V,11.9,V,12.5,V,13.9,V
2016-10-05 01:00,0.3,V,13,V,3,V,-3,V,0.1,V,0.0,V,4.1,V,11.6,V,12.5,V,13.8,V
2016-10-05 02:00,0.3,V,13,V,3,V,-3,V,0.0,V,0.0,V,4.1,V,11.3,V,12.5,V,13.8,V
2016-10-05 03:00,0.1,V,13,V,5,V,-3,V,0.0,V,0.0,V,4.3,V,11.1,V,12.5,V,13.8,V
2016-10-05 04:00,-0.3,V,13,V,3,V,-3,V,0.0,V,0.0,V,4.2,V,10.8,V,12.5,V,13.8,V
2016-10-05 05:00,-0.5,V,13,V,3,V,-3,V,0.0,V,0.0,V,4.2,V,10.6,V,12.4,V,13.7,V
2016-10-05 06:00,-0.8,V,13,V,3,V,-3,V,0.0,V,0.0,V,4.3,V,10.4,V,12.4,V,13.7,V
2016-10-05 07:00,-0.8,V,13,V,3,V,-3,V,0.0,V,0.0,V,4.1,V,10.1,V,12.3,V,13.7,V
2016-10-05 08:00,0.3,V,13,V,-3,V,-3,V,0.0,V,0.0,V,4.3,V,9.9,V,12.2,V,13.7,V
2016-10-05 09:00,4.2,V,10,V,-5,V,-3,V,0.0,V,0.0,V,4.3,V,9.7,V,12.2,V,13.7,V
2016-10-05 10:00,7.1,V,10,V,-5,V,-8,V,0.0,V,0.0,V,4.2,V,9.5,V,12.1,V,13.7,V
2016-10-05 11:00,9.0,V,10,V,-5,V,-8,V,0.0,V,0.0,V,4.3,V,9.5,V,12.0,V,13.6,V
2016-10-05 12:00,9.8,V,8,V,-5,V,-5,V,0.0,V,0.0,V,3.9,V,9.8,V,11.9,V,13.6,V
2016-10-05 13:00,9.1,V,10,V,-3,V,-3,V,0.0,V,0.0,V,3.9,V,10.2,V,11.8,V,13.6,V
2016-10-05 14:00,10.6,V,8,V,-5,V,-3,V,0.0,V,0.0,V,4.0,V,10.7,V,11.8,V,13.6,V
2016-10-05 15:00,9.0,V,8,V,0,V,3,V,0.0,V,0.1,V,4.1,V,11.3,V,11.7,V,13.6,V
2016-10-05 16:00,9.4,V,8,V,-3,V,0,V,0.0,V,0.1,V,4.0,V,11.7,V,11.7,V,13.5,V
2016-10-05 17:00,9.1,V,10,V,-5,V,0,V,0.1,V,0.0,V,3.8,V,12.0,V,11.8,V,13.5,V
2016-10-05 18:00,5.6,V,10,V,0,V,0,V,0.3,V,0.0,V,4.1,V,12.2,V,11.8,V,13.5,V
2016-10-05 19:00,3.6,V,13,V,3,V,0,V,0.0,V,0.0,V,3.9,V,12.2,V,11.9,V,13.5,V
2016-10-05 20:00,2.3,V,13,V,3,V,0,V,0.0,V,0.0,V,3.9,V,12.2,V,11.9,V,13.5,V
