Date,Css Lab (428) Air Temperature Observed (degC),Css Lab (428) Air Temperature Observed QC Flag,Css Lab (428) Precipitation Accumulation (mm),Css Lab (428) Precipitation Accumulation QC Flag,Css Lab (428) Snow Depth (cm),Css Lab (428) Snow Depth QC Flag,Css Lab (428) Snow Water Equivalent (mm),Css Lab (428) Snow Water Equivalent QC Flag,Css Lab (428) Soil Moisture Percent -2in (pct),Css Lab (428) Soil Moisture Percent -2in QC Flag,Css Lab (428) Soil Moisture Percent -8in (pct),Css Lab (428) Soil Moisture Percent -8in QC Flag,Css Lab (428) Soil Moisture Percent -20in (pct),Css Lab (428) Soil Moisture Percent -20in QC Flag,Css Lab (428) Soil Temperature Observed -2in (degC),Css Lab (428) Soil Temperature Observed -2in QC Flag,Css Lab (428) Soil Temperature Observed -8in (degC),Css Lab (428) Soil Temperature Observed -8in QC Flag,Css Lab (428) Soil Temperature Observed -20in (degC),Css Lab (428) Soil Temperature Observed -20in QC Flag
2006-10-01 00:00,10.0,V,0,V,0,E,0,E,0.0,V,0.0,V,2.8,V,16.0,V,16.1,V,14.2,V
2006-10-01 01:00,9.8,V,0,V,0,V,-3,V,0.0,V,0.0,V,2.9,V,15.4,V,16.0,V,14.2,V
2006-10-01 02:00,10.1,V,0,V,-3,V,-3,V,0.0,V,0.0,V,2.6,V,14.8,V,16.0,V,14.2,V
2006-10-01 03:00,9.6,V,0,V,3,V,-3,V,0.0,V,0.0,V,2.6,V,14.4,V,16.0,V,14.2,V
2006-10-01 04:00,9.2,V,0,V,-3,V,-3,V,0.0,V,0.0,V,2.6,V,13.9,V,15.9,V,14.2,V
2006-10-01 05:00,8.4,V,3,V,0,V,-3,V,0.0,V,0.0,V,2.7,V,13.5,V,15.8,V,14.2,V
2006-10-01 06:00,8.6,V,3,V,0,V,-3,V,0.0,V,0.0,V,2.5,V,13.1,V,15.8,V,14.2,V
2006-10-01 07:00,6.2,V,3,V,0,V,-3,V,0.0,V,0.0,V,2.6,V,12.6,V,15.7,V,14.2,V
2006-10-01 08:00,11.0,V,3,V,-3,V,-3,V,0.0,V,0.0,V,3.0,V,12.2,V,15.6,V,14.2,V
2006-10-01 09:00,12.8,V,3,V,-3,V,-3,V,0.0,V,0.0,V,2.7,V,12.3,V,15.5,V,14.2,V
2006-10-01 10:00,14.3,V,-3,V,-5,V,-5,V,0.0,V,0.0,V,3.0,V,14.2,V,15.4,V,14.2,V
2006-10-01 11:00,14.8,V,0,V,-3,V,-5,V,0.0,V,0.0,V,2.7,V,17.0,V,15.3,V,14.2,V
2006-10-01 12:00,15.4,V,-5,V,-5,V,-5,V,0.0,V,0.0,V,2.5,V,18.8,V,15.2,V,14.2,V
2006-10-01 13:00,14.3,V,-3,V,-8,V,-5,V,0.0,V,0.0,V,3.0,V,22.0,V,15.1,V,14.2,V
2006-10-01 14:00,13.7,V,-3,V,-5,V,-3,V,0.0,V,0.0,V,2.5,V,24.1,V,15.1,V,14.2,V
2006-10-01 15:00,11.7,V,0,V,-5,V,-3,V,0.0,V,0.0,V,2.6,V,24.6,V,15.1,V,14.2,V
2006-10-01 16:00,10.4,V,3,V,-8,V,-3,V,0.0,V,0.0,V,2.9,V,23.3,V,15.2,V,14.2,V
2006-10-01 17:00,9.3,V,3,V,-3,V,-3,V,0.0,V,0.0,V,2.7,V,21.7,V,15.3,V,14.2,V
2006-10-01 18:00,9.0,V,3,V,-3,V,-3,V,0.0,V,0.0,V,2.4,V,20.2,V,15.4,V,14.2,V
2006-10-01 19:00,7.9,V,0,V,-8,V,-3,V,0.0,V,0.0,V,2.9,V,19.0,V,15.5,V,14.2,V
2006-10-01 20:00,6.6,V,0,V,-5,V,0,V,0.0,V,0.0,V,2.8,V,18.0,V,15.6,V,14.2,V
2006-10-01 21:00,5.6,V,3,V,-3,V,0,V,0.0,V,0.0,V,2.9,V,17.1,V,15.7,V,14.2,V
