date,year,tempmax_C,tempmin_C,precip_24hrmm,precip_cum_mm,precip_%snow,precip_%rain,snowhn24_cm,snowtotal_cm,HS_cm,SWE_cm,SWE_mm
2009-10-01 09:00:00,2009,18,1,0,0,,,0,0.0,0.0,0.0,0.0
2009-10-02 09:00:00,2009,16,2,0,0,,,0,0.0,0.0,0.0,0.0
2009-10-03 09:00:00,2009,11,0,T,0,100.0,,0,0.0,0.0,0.0,0.0
2009-10-04 09:00:00,2009,4,-3,9,9,100.0,,0.5,0.5,0.5,,
2009-10-05 09:00:00,2009,6,-6,1,10,100.0,,10,10.5,10.0,0.6,6.0
2009-10-06 09:00:00,2009,12,-1,0,10,,,0,10.5,0.0,0.0,0.0
2009-10-07 09:00:00,2009,17,-2,0,10,,,0,10.5,0.0,0.0,0.0
2009-10-08 09:00:00,2009,18,-1,0,10,,,0,10.5,0.0,0.0,0.0
2009-10-09 09:00:00,2009,19,1,0,10,,,0,10.5,0.0,0.0,0.0
2009-10-10 09:00:00,2009,19,2,0,10,,,0,10.5,0.0,0.0,0.0
2009-10-11 09:00:00,2009,15,0,0,10,,,0,10.5,0.0,0.0,0.0
2009-10-12 09:00:00,2009,11,2,0,10,,,0,10.5,0.0,0.0,0.0
2009-10-13 09:00:00,2009,6,1,93,103,35.0,65.0,4.5,15.0,1.5,0.4,4.0
2009-10-14 09:00:00,2009,6,3,12,115,,100.0,0,15.0,0.0,0.0,0.0
2009-10-15 09:00:00,2009,14,6,1,116,,100.0,0,15.0,0.0,0.0,0.0
2009-10-16 09:00:00,2009,21,4,0,116,,,0,15.0,0.0,0.0,0.0
2009-10-17 09:00:00,2009,20,5,0,116,,,0,15.0,0.0,0.0,0.0
2009-10-18 09:00:00,2009,15,6,1,117,,100.0,0,15.0,0.0,0.0,0.0
2009-10-19 09:00:00,2009,6,-1,11,128,98.0,2.0,8,23.0,0.0,0.0,0.0
2009-10-20 09:00:00,2009,14,0,0,128,,,0,23.0,5.0,,
2009-10-21 09:00:00,2009,18,-1,0,128,,,0,23.0,0.0,0.0,0.0
2009-10-22 09:00:00,2009,18,0,0,128,,,0,23.0,0.0,0.0,0.0
2009-10-23 09:00:00,2009,19,3,0,128,,,0,23.0,0.0,0.0,0.0
2009-10-24 09:00:00,2009,18,2,0,128,,,0,23.0,0.0,0.0,0.0
2009-10-25 09:00:00,2009,16,2,0,128,,,0,23.0,0.0,0.0,0.0
2009-10-26 09:00:00,2009,15,3,1,129,,100.0,0,23.0,0.0,0.0,0.0
2009-10-27 09:00:00,2009,4,-5,T,129,100.0,,0,23.0,0.0,0.0,0.0
2009-10-28 09:00:00,2009,2,-7,0,129,,,0,23.0,0.0,0.0,0.0
2009-10-29 09:00:00,2009,9,-4,0,129,,,0,23.0,0.0,0.0,0.0
2009-10-30 09:00:00,2009,18,1,0,129,,,0,23.0,0.0,0.0,0.0
2009-10-31 09:00:00,2009,19,1,0,129,,,0,23.0,0.0,0.0,0.0
2009-11-01 09:00:00,2009,21,1,0,129,,,0,23.0,0.0,0.0,0.0
2009-11-02 09:00:00,2009,21,2,0,129,,,0,23.0,0.0,0.0,0.0
2009-11-03 09:00:00,2009,22,2,0,129,,,0,23.0,0.0,0.0,0.0
2009-11-04 09:00:00,2009,17,1,0,129,,,0,23.0,0.0,0.0,0.0
2009-11-05 09:00:00,2009,10,2,0,129,,,0,23.0,0.0,0.0,0.0
2009-11-06 09:00:00,2009,5,2,4,133,,100.0,0,23.0,0.0,0.0,0.0
2009-11-07 09:00:00,2009,8,-4,1,134,,100.0,0,23.0,0.0,0.0,0.0
2009-11-08 09:00:00,2009,9,-6,0,134,,,0,23.0,0.0,0.0,0.0
2009-11-09 09:00:00,2009,8,-4,0,134,,,0,23.0,0.0,0.0,0.0
2009-11-10 09:00:00,2009,9,2,0,134,,,0,23.0,0.0,0.0,0.0
2009-11-11 09:00:00,2009,9,1,0,134,,,0,23.0,0.0,0.0,0.0
2009-11-12 09:00:00,2009,4,-6,14,148,100.0,,16.5,39.5,17.0,1.4,14.0
2009-11-13 09:00:00,2009,3,-8,0,148,,,0,39.5,13.5,1.1,11.0
2009-11-14 09:00:00,2009,7,-7,0,148,,,0,39.5,9.5,0.8,8.0
2009-11-15 09:00:00,2009,13,-6,0,148,,,0,39.5,6.0,0.5,5.0
2009-11-16 09:00:00,2009,13,-3,0,148,,,0,39.5,2.0,,
2009-11-17 09:00:00,2009,10,-2,2,150,100.0,,0,39.5,0.0,0.0,0.0
2009-11-18 09:00:00,2009,4,-5,8,158,100.0,,5.5,45.0,8.0,1.0,10.0
2009-11-19 09:00:00,2009,14,-6,0,158,,,0,45.0,5.5,0.6,6.0
2009-11-20 09:00:00,2009,6,-5,29,187,100.0,,11,56.0,1.0,,
2009-11-21 09:00:00,2009,4,-9,0,187,,,14,70.0,25.0,2.9,29.0
2009-11-22 09:00:00,2009,3,-3,0,187,,,0,70.0,24.0,,
2009-11-23 09:00:00,2009,8,-6,0,187,,,0,70.0,23.0,2.8,28.0
2009-11-24 09:00:00,2009,12,-3,0,187,,,0,70.0,22.0,2.7,27.0
2009-11-25 09:00:00,2009,13,-1,0,187,,,0,70.0,21.0,,
2009-11-26 09:00:00,2009,14,-3,0,187,,,0,70.0,20.0,,
2009-11-27 09:00:00,2009,4,-3,10,197,100.0,,11,81.0,19.0,,
2009-11-28 09:00:00,2009,3,-4,0,197,,,0,81.0,23.5,,
2009-11-29 09:00:00,2009,6,-3,0,197,,,0,81.0,21.0,,
2009-11-30 09:00:00,2009,13,-4,0,197,,,0,81.0,20.5,4.8,48.0
2009-12-01 09:00:00,2009,14,-4,0,197,,,0,81.0,20.0,,
2009-12-02 09:00:00,2009,10,-5,0,197,,,0,81.0,19.0,4.4,44.0
2009-12-03 09:00:00,2009,7,-4,0,197,,,0,81.0,19.0,4.3,43.0
2009-12-04 09:00:00,2009,9,-6,0,197,,,0,81.0,19.0,4.3,43.0
2009-12-05 09:00:00,2009,3,-3,0,197,,,0,81.0,19.0,,
2009-12-06 09:00:00,2009,-7,-13,21,218,100.0,,13.5,94.5,19.0,,
2009-12-07 09:00:00,2009,-3,-17,26,244,100.0,,62.5,157.0,88.0,10.2,102.0
2009-12-08 09:00:00,2009,-6,-20,0,244,,,2,159.0,78.0,,
2009-12-09 09:00:00,2009,1,-19,0,244,,,0,159.0,67.5,10.0,100.0
2009-12-10 09:00:00,2009,3,-12,1,245,100.0,,0,159.0,57.5,10.0,100.0
2009-12-11 09:00:00,2009,1,-1,27,272,100.0,,24,183.0,62.0,11.3,113.0
2009-12-12 09:00:00,2009,0,-4,59,331,100.0,,60,243.0,91.0,,
2009-12-13 09:00:00,2009,1,-3,26,357,100.0,,16,259.0,139.0,,
2009-12-14 09:00:00,2009,3,-6,3,360,100.0,,7,266.0,135.0,26.5,265.0
2009-12-15 09:00:00,2009,2,-6,0,360,,,0,266.0,127.5,,
2009-12-16 09:00:00,2009,3,-2,3,363,50.0,50.0,1.5,267.5,120.5,,
2009-12-17 09:00:00,2009,11,-4,0,363,,,0,267.5,114.0,26.3,263.0
2009-12-18 09:00:00,2009,11,-4,0,363,,,0,267.5,111.0,26.0,260.0
2009-12-19 09:00:00,2009,14,-2,0,363,,,0,267.5,108.5,,
2009-12-20 09:00:00,2009,8,-1,1,364,95.0,5.0,0,267.5,105.5,,
2009-12-21 09:00:00,2009,2,-3,23,387,100.0,,7,274.5,103.5,26.5,265.0
2009-12-22 09:00:00,2009,-3,-11,T,387,100.0,,12,286.5,115.0,27.7,277.0
2009-12-23 09:00:00,2009,4,-11,0,387,,,0,286.5,114.0,27.5,275.0
2009-12-24 09:00:00,2009,7,-7,0,387,,,0,286.5,110.0,,
2009-12-25 09:00:00,2009,10,-6,0,387,,,0,286.5,105.5,,
2009-12-26 09:00:00,2009,4,-7,1,388,100.0,,0,286.5,101.5,,
2009-12-27 09:00:00,2009,3,-8,6,394,100.0,,9.5,296.0,97.0,,
2009-12-28 09:00:00,2009,2,-9,7,401,100.0,,1.5,297.5,107.0,27.3,273.0
2009-12-29 09:00:00,2009,3,-11,10,411,100.0,,18.5,316.0,126.0,,
2009-12-30 09:00:00,2009,-1,-11,14,425,100.0,,11,327.0,129.5,33.3,333.0
2009-12-31 09:00:00,2009,3,-8,0,425,,,0,327.0,124.0,,
2010-01-01 09:00:00,2010,1,-2,10,435,100.0,,8,335.0,130.0,,
2010-01-02 09:00:00,2010,12,-6,0,435,,,0,335.0,126.5,,
2010-01-03 09:00:00,2010,14,-7,0,435,,,0,335.0,123.5,,
2010-01-04 09:00:00,2010,12,-5,0,435,,,0,335.0,120.0,35.4,354.0
2010-01-05 09:00:00,2010,11,-3,0,435,,,0,335.0,117.0,,
2010-01-06 09:00:00,2010,13,-2,T,435,,100.0,0,335.0,114.0,,
2010-01-07 09:00:00,2010,9,1,T,435,,100.0,0,335.0,111.0,32.6,326.0
2010-01-08 09:00:00,2010,9,0,1,436,,100.0,0,335.0,108.0,,
2010-01-09 09:00:00,2010,11,-1,1,437,,100.0,0,335.0,104.5,31.6,316.0
2010-01-10 09:00:00,2010,11,-2,0,437,,,0,335.0,102.0,,
2010-01-11 09:00:00,2010,11,-1,0,437,,,0,335.0,99.0,32.1,321.0
2010-01-12 09:00:00,2010,5,-1,41,478,35.0,65.0,10,345.0,107.0,,
2010-01-13 09:00:00,2010,2,-4,22,500,100.0,,20.5,365.5,123.0,36.5,365.0
2010-01-14 09:00:00,2010,7,-5,0,500,,,1.5,367.0,120.5,36.9,369.0
2010-01-15 09:00:00,2010,10,-4,0,500,,,0,367.0,118.0,37.1,371.0
2010-01-16 09:00:00,2010,9,-3,0,500,,,0,367.0,115.0,,
2010-01-17 09:00:00,2010,1,-2,10,510,100.0,,11,378.0,113.5,,
2010-01-18 09:00:00,2010,1,-4,57,567,100.0,,41.5,419.5,131.5,,
2010-01-19 09:00:00,2010,-2,-4,20,587,100.0,,33.5,453.0,182.0,,
2010-01-20 09:00:00,2010,-2,-5,57,644,100.0,,35.5,488.5,193.0,49.3,493.0
2010-01-21 09:00:00,2010,-2,-9,12,656,100.0,,44.5,533.0,222.0,53.5,535.0
2010-01-22 09:00:00,2010,-1,-6,10,666,100.0,,16,549.0,231.0,56.5,565.0
2010-01-23 09:00:00,2010,-1,-7,5,671,100.0,,11.5,560.5,222.0,,
2010-01-24 09:00:00,2010,-1,-9,10,681,100.0,,6.5,567.0,219.0,,
2010-01-25 09:00:00,2010,2,-1,32,713,100.0,,23,590.0,220.0,,
2010-01-26 09:00:00,2010,1,-1,19,732,100.0,,23.5,613.5,238.0,65.0,650.0
